商品ID,商品名,handle,在庫,種類,日本酒度,酸度,甘辛(1甘-5辛),濃淡(1淡麗-5濃醇),香り(1穏-5華),酸味(1穏-5強),キレ(1まろ-5鋭),根拠,蔵元コメント
7516625305809,黒笹Classic 特別純米,99,18,特別純米酒,,,3,3,3,3,3,推定(要確認),
6712425742545,白笹鼓 特別純米,17,10,特別純米,,,4,3,3,3,4,推定(要確認),
7353060294865,ササノシラベ 春笹うすにごり 純米吟醸生 2026,92,10,純米吟醸酒（生）,,,4,3,4,3,4,推定(要確認),
6712425644241,白笹鼓 特別純米酒 300ml,16,5,特別純米,1.5,1.4,4,4,4,4,4,実データ,
6712426365137,"白笹鼓 謹醸 1,800ml",28,5,本醸造,,,3,3,2,3,2,推定(要確認),
6712426725585,しらささ 冷や酒 300ml,34,0,普通酒,5.0,1.1,5,4,2,3,4,実データ,
6712426856657,しらささ 冷や酒 720ml,35,0,普通酒,5.0,1.1,5,4,2,3,4,実データ,
6834340987089,白笹鼓 特別純米酒「妖怪 アマビエ」720ml,44,0,特別純米,1.5,1.4,4,4,4,4,4,実データ,
6834366808273,【秋季限定】白笹鼓 純米酒「丹沢のひやおろし」720ml,46,0,純米,3.5,,5,4,3,3,4,実データ,
6834370707665,"【秋季限定】白笹鼓 純米酒「丹沢のひやおろし」1,800ml",47,0,純米,3.5,,5,4,3,3,4,実データ,
7052189237457,白笹鼓　純米原酒　秦野　720ｍｌ,白笹鼓-純米原酒-秦野-720ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7052192383185,白笹鼓　ヤビツ峠　300ml　（本醸造）,白笹鼓-ヤビツ峠-300ml-本醸造,0,,,,3,3,2,3,3,推定(要確認),
7052192415953,白笹鼓　塔の岳　300ml　（山田錦・純米吟醸）,白笹鼓-塔の岳-300ml-山田錦-純米吟醸,0,,,,3,3,2,3,3,推定(要確認),
7057359831249,白笹鼓　特撰　1800ｍｌ,白笹鼓-特撰-1800ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7057360847057,白笹鼓　純米吟醸生貯蔵　300ｍｌ,白笹鼓-純米吟醸生貯蔵-300ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7057361371345,白笹鼓　1800ml,白笹鼓-1800ml,0,,,,3,3,2,3,3,推定(要確認),
7057362878673,白笹鼓　本醸造　生酒　1800ｍｌ,白笹鼓-本醸造-生酒-1800ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7057363042513,白笹鼓　本醸造　生酒　720ｍｌ,白笹鼓-本醸造-生酒-720ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7057363468497,モーツァルト　K001･K003　吟･原セット　500ｍｌ×2,モーツァルト-k001-k003-吟-原セット-500ｍｌ-2,0,,,,3,3,2,3,3,推定(要確認),
7057363566801,モーツァルト　K001･K005　原･純セット　500ｍｌ×2,モーツァルト-k001-k005-原-純セット-500ｍｌ-2,0,,,,3,3,2,3,3,推定(要確認),
7057363763409,モーツァルト　K003･K005　吟･純セット　500ｍｌ×2,モーツァルト-k003-k005-吟-純セット-500ｍｌ-2,0,,,,3,3,2,3,3,推定(要確認),
7057363960017,飲み比べセット　春嶽,飲み比べセット-春嶽,0,,,,3,3,2,3,3,推定(要確認),
7057364123857,SH-25　(特純1・特本1),sh-25-特純1-特本1,0,,,,3,3,2,3,3,推定(要確認),
7057364254929,SW-31　（若水1・特純1）,sw-31-若水1-特純1,0,,,,3,3,2,3,3,推定(要確認),
7057364484305,SH-40　(特純2・特本1),sh-40-特純2-特本1,0,,,,3,3,2,3,3,推定(要確認),
7057364582609,SFE-43　(吟醸・笹の露・純米),sfe-43-吟醸-笹の露-純米,0,,,,3,3,2,3,3,推定(要確認),
7057364713681,弘法山　720ｍｌ,弘法山-720ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7057364844753,秦野　生酒　720ｍｌ,秦野-生酒-720ｍｌ,0,,,,3,3,2,3,3,推定(要確認),
7057365041361,酒粕500g詰,酒粕500g詰,0,,,,3,3,2,3,3,推定(要確認),
7057367466193,白笹鼓　純米吟醸　一合缶　180ml,白笹鼓-純米吟醸-一合缶-180ml,0,,,,3,3,2,3,3,推定(要確認),
7057367564497,白笹鼓　DRUNKEN DEMON　300ml　（冷や酒）,白笹鼓-drunken-demon-300ml-冷や酒,0,,,,3,3,2,3,3,推定(要確認),
7057367597265,白笹鼓　THE WHITE FOX　300ml　（冷や酒）,白笹鼓-the-white-fox-300ml-冷や酒,0,,,,3,3,2,3,3,推定(要確認),
7057368023249,袋（ビニール・店頭用）,袋,0,,,,3,3,2,3,3,推定(要確認),
7064594120913,送料１：神奈川県,送料１,0,,,,3,3,2,3,3,推定(要確認),
7064616108241,送料２：北海道,送料-２,0,,,,3,3,2,3,3,推定(要確認),
7064631476433,送料３：青森・秋田・岩手,送料-３,0,,,,3,3,2,3,3,推定(要確認),
7064634949841,送料４：宮城・山形・福島,送料-４,0,,,,3,3,2,3,3,推定(要確認),
7064636784849,送料５：茨城・栃木・群馬・埼玉・千葉・東京・山梨・新潟,送料-５,0,,,,3,3,2,3,3,推定(要確認),
7064663785681,送料６：静岡・愛知・岐阜・三重・長野・富山・石川・福井,送料-６,0,,,,3,3,2,3,3,推定(要確認),
7064665227473,送料７：滋賀・京都・奈良・和歌山・大阪・兵庫,送料-７,0,,,,3,3,2,3,3,推定(要確認),
7064667848913,送料８：岡山・広島・山口・鳥取・島根,送料-８,0,,,,3,3,2,3,3,推定(要確認),
7064669028561,送料９：香川・徳島・高知・愛媛,送料-9,0,,,,3,3,2,3,3,推定(要確認),
7064671748305,送料１１：宮崎・熊本・鹿児島,送料-10,0,,,,3,3,2,3,3,推定(要確認),
7064674631889,送料１２：沖縄,送料-12,0,,,,3,3,2,3,3,推定(要確認),
7064684527825,送料１０：福岡・佐賀・大分・長崎,送料-11,0,,,,3,3,2,3,3,推定(要確認),
7064694882513,送料：クール便,クール便,0,,,,3,3,2,3,3,推定(要確認),
7064795447505,酒粕　５Kg,酒粕-５kg,0,,,,3,3,2,3,3,推定(要確認),
7069570040017,新・ほおずき　300ml,新-ほおずき-300ml,0,,,,3,3,2,3,3,推定(要確認),
7148113068241,手提げ袋,giftbag,0,,,,3,3,2,3,3,推定(要確認),
7162560577745,【店頭用】大吟・若水 セット,店頭用-大吟-若水-セット,0,,,,3,3,2,3,3,推定(要確認),
7240420229329,熨斗・包装,noshi,0,,,,3,3,2,3,3,推定(要確認),
7317834858705,蔵元直詰　秦野の酒粕,89,0,その他,,,3,3,2,3,3,推定(要確認),
7612870918353,ササノメグリ　緋笹（数量限定）,103,0,,,,3,3,2,3,3,推定(要確認),
6712426528977,"白笹鼓 樽酒 1,800ml",30,-6,樽酒,4.0,1.0,5,3,2,2,4,実データ,
6712426627281,白笹鼓 生貯蔵「弘法山」300ml,32,-10,生貯蔵,3.0,1.0,4,3,2,2,3,実データ,
